texte,label
"Félicitations ! Vous avez gagné un iPhone, cliquez ici immédiatement pour le récupérer.",1
"Urgent : votre compte sera suspendu, connectez-vous via ce lien pour le réactiver.",1
"Gagnez 5000€ par semaine depuis chez vous, sans effort, inscription gratuite.",1
"Votre colis est bloqué en douane, réglez 2,99€ de frais via ce lien pour le débloquer.",1
"Offre exceptionnelle : -90% sur tous les produits, aujourd'hui seulement, cliquez vite.",1
"Votre carte bancaire a été bloquée, confirmez vos informations sur ce site sécurisé.",1
"Madame, Monsieur, vous avez été sélectionné pour un héritage de 3 millions d'euros.",1
"Dernier avertissement avant coupure de votre ligne, réglez immédiatement via ce lien.",1
"Devenez riche rapidement grâce à cette méthode secrète, aucun investissement requis.",1
"Votre abonnement Netflix va expirer, mettez à jour votre moyen de paiement ici.",1
"Cliquez ici pour débloquer votre cadeau surprise avant minuit.",1
"Prêt accordé en 24h sans justificatif, même en cas de fichage bancaire.",1
"Votre mot de passe a expiré, cliquez sur ce lien pour le renouveler immédiatement.",1
"Vous avez remporté le gros lot de la loterie internationale, contactez-nous vite.",1
"Réduction exclusive réservée aux 100 premiers, profitez-en avant qu'il ne soit trop tard.",1
"Bonjour, pouvez-vous me confirmer le rendez-vous de mardi 14h pour le devis toiture ?",0
"Merci pour votre message, je vous envoie la facture corrigée en pièce jointe.",0
"L'équipe se réunit demain à 9h pour faire le point sur le chantier de la rue Pasteur.",0
"Voici le compte-rendu de la réunion client de ce matin, n'hésitez pas à réagir.",0
"Je confirme la livraison du matériel prévue vendredi matin sur le chantier.",0
"Pourriez-vous valider le planning des congés du mois prochain avant vendredi ?",0
"Merci de trouver ci-joint le contrat signé pour la mission de rénovation.",0
"La réunion de chantier est reportée à jeudi 10h en raison de la météo.",0
"Bonjour, je vous recontacte pour le suivi du dossier assurance habitation.",0
"Voici les photos avant/après pour le rapport d'intervention de cette semaine.",0
"Je vous transmets le devis actualisé suite à notre échange téléphonique.",0
"Merci de votre retour rapide, je programme l'intervention pour lundi matin.",0
"Pouvez-vous me rappeler cet après-midi pour discuter du planning de livraison ?",0
"Je valide la commande de matériel, merci de préparer le bon de livraison.",0
"La facture du mois dernier a bien été réglée, merci pour votre réactivité.",0
"Notre équipe technique passera demain entre 8h et 10h pour l'entretien annuel.",0
"Je vous confirme la disponibilité de l'équipe pour le chantier de septembre.",0
"Merci de bien vouloir signer et retourner le devis ci-joint avant vendredi.",0
"Le rapport d'audit sécurité a été transmis au responsable qualité ce matin.",0
"Pouvez-vous me confirmer les horaires d'intervention pour la semaine prochaine ?",0
